Customer_id,Date_disb,pay_type,area_code,pin_code,state,dealer,product_code,tenure,roi,emi,proc_fee,asset_cost,loan_amt,gender,qualification,employ_type,resid_type,age,cibil_score,net_salary,net_irr,fraud
914,12/18/2019,ADM,3047,124001,HA,DEALER,SC,0.352941176,-1.217973426,0.119109948,0.290264096,73678,59188,M,PG,SAL,O,0.428571429,0.1632039,0.70991114,-0.876648528,1
915,12/23/2019,ACH,3047,132103,HA,DEALER,MC,0.647058824,-0.03915595,0.119764398,-1.219427365,67350,56500,M,UG,SEP,O,0.612244898,-0.269885309,-0.042464394,-0.225997279,0
916,12/19/2019,ADM,3047,134203,HA,ASC,SC,0.352941176,-1.217973426,0.139023934,0.509948471,79067,63500,F,UG,SAL,O,0.367346939,0.392486423,1.161336461,-0.879869574,1
917,12/16/2019,ADM,3047,123401,HA,DEALER,SC,0.352941176,0.595897236,0.139304413,0.232362787,69700,59008,F,PG,SAL,O,0.081632653,-0.652022847,0.408960927,0.782190052,0
918,12/28/2019,ACH,3047,135001,HA,ASC,SC,0.352941176,0.278370643,0.126869858,0.274937279,69365,57232,M,PG,SAL,O,0.244897959,-0.218933637,-0.343414608,0.588927305,0
919,12/18/2019,ACH,3091,176217,HP,ASC,SC,0.588235294,0.675278884,0.050579656,-1.204100548,67800,55500,F,OTHERS,SEP,O,0.163265306,,-0.343414608,-0.14869218,0
920,12/16/2019,ADM,3040,261131,UP,DEALER,MC,0.431372549,0.516515588,0.095362752,0.147213805,60000,50336,M,OTHERS,SAL,O,0.081632653,-0.218933637,-0.343414608,0.782190052,0
921,12/30/2019,ADM,3047,127310,HA,ASC,SC,0.647058824,0.357752291,0.131544503,0.368601159,68300,58000,M,HSC,SEP,O,0.510204082,,0.408960927,0.727432274,0
922,12/19/2019,ACH,3047,131101,HA,ASC,MC,0.588235294,1.032496301,0.060115931,-0.448829073,67350,57000,F,OTHERS,SEP,O,0.448979592,-0.167981966,0.158169082,0.711327045,0
923,12/24/2019,ADM,3047,124105,HA,ASC,MC,0.352941176,-0.118537598,0.122288706,-1.219427365,67300,57200,M,SSC,SAL,O,0.265306122,,-0.493889714,-0.345175973,0
924,12/24/2019,ADM,3047,132001,HA,DEALER,MC,0.352941176,-0.03915595,0.126028422,0.302184953,67629,57800,M,OTHERS,SAL,O,0.530612245,1.81913323,-0.443731345,0.402106649,0
925,12/24/2019,ADM,3034,208020,UP,ASC,SC,0.352941176,-0.257455482,0.124065071,-1.726063812,70000,57900,M,UG,SAL,O,0.040816327,-0.218933637,-0.343414608,-0.992606177,0
926,12/27/2019,ADM,3091,175002,HP,DEALER,SC,0.588235294,0.746722368,0.079188482,0.419690549,73959,63000,M,HSC,SAL,O,0.102040816,,-0.544048083,0.672674495,0
927,12/20/2019,ADM,3047,124001,HA,DEALER,SC,0.352941176,-1.217973426,0.119109948,0.290264096,73678,59188,M,HSC,SAL,O,0.12244898,,-0.443731345,-0.876648528,0
928,12/21/2019,ADM,3091,173025,HP,DEALER,SC,0.235294118,-1.4719947,0.183059088,0.304739423,71819,57500,F,HSC,SEP,O,0.265306122,,-0.092622763,-0.657617415,0
929,12/21/2019,ADM,3047,136034,HA,ASC,MC,0.431372549,-0.118537598,0.122195213,-1.219427365,67350,57198,M,OTHERS,SAL,O,0.346938776,0.341534751,0.25848582,-0.351618065,1
930,12/23/2019,ADM,3047,124001,HA,DEALER,MC,0.588235294,-0.832972432,0.156881077,1.394646399,113500,91600,M,OTHERS,SEP,O,0.163265306,-0.320836981,-0.343414608,-0.702712056,0
931,12/26/2019,ADM,3047,124001,HA,DEALER,SC,0.352941176,0.357752291,0.131731488,0.251095564,68000,58032,M,HSC,SEP,O,0.306122449,,-0.443731345,0.663011358,0
932,12/31/2019,ACH,3091,176085,HP,ASC,SC,0.588235294,0.675278884,0.073111444,-1.130020934,74600,61600,F,OTHERS,SEP,O,0.408163265,-0.779402026,-0.343414608,-0.158355318,0
933,12/28/2019,ADM,3091,174101,HP,ASC,SC,0.352941176,0.357752291,0.169035153,0.716860498,79678,65601,M,HSC,SAL,R,0.12244898,,-0.594206452,0.743537503,0
934,12/27/2019,ADM,3091,174101,HP,ASC,SC,0.352941176,0.357752291,0.169035153,0.716860498,79678,65601,M,HSC,SAL,R,0.204081633,-0.75392619,-0.4623401,0.743537503,0
935,12/28/2019,ACH,3047,124106,HA,ASC,MC,0.588235294,-0.81312702,0.175673149,1.594746508,120000,97000,M,PG,SEP,O,0.612244898,1.156761498,0.158169082,-0.702712056,0
936,12/26/2019,ADM,3091,175001,HP,DEALER,SC,0.588235294,0.675278884,0.048803291,-1.204100548,67807,55000,M,HSC,SAL,O,0.387755102,,-0.544048083,-0.135807997,0
937,12/30/2019,ADM,3091,171219,HP,ASC,MC,0.588235294,0.595897236,0.06815632,0.405215222,71086,60500,M,SSC,AGR,O,0.163265306,,-0.343414608,0.69200077,0
938,12/28/2019,ADM,3091,175134,HP,ASC,SC,0.588235294,0.687186132,0.093305909,-1.117248586,79678,67000,M,HSC,AGR,O,0.306122449,,-0.343414608,-0.161576364,0
